66,Cleveland St.,Horz,"111.6
126","121.8
356","54.2
66","55.0
311","18.9
302","14.3
329","28.9
249","38.8
362","43.0
37","34.3
146","76.4
47","77.4
359","50.1
234","58.7
354","38.8
14","33.7
165"
67,Harvard,Ivy,"108.8
173","109.5
189","54.2
67","52.3
230","17.1
189","17.4
150","26.5
309","29.6
131","26.9
350","28.9
45","81.8
2","72.0
159","53.0
128","53.2
246","37.5
26","33.9
174"
68,Colorado,B12,"118.7
53","108.9
176","54.1
68","52.6
241","13.9
19","15.5
276","30.4
194","29.6
128","37.7
122","34.3
147","76.3
49","71.6
145","53.9
103","51.1
157","36.3
56","36.8
321"
69,Columbia,Ivy,"109.7
155","110.7
221","54.1
69","50.6
146","19.4
318","14.2
332","36.9
26","27.1
40","30.7
297","32.7
108","73.3
148","73.0
234","54.0
97","48.1
59","36.2
60","36.7
317"
70,Wisconsin,B10,"122.1
28","102.3
63","54.1
70","50.3
131","13.7
14","14.6
315","29.5
226","25.7
15","36.2
166","33.0
118","77.8
17","72.6
197","56.5
49","51.1
156","34.6
141","32.7
115"
71,George Mason,A10,"112.7
112","105.8
111","54.1
71","48.7
78","15.2
64","16.5
211","31.4
159","27.5
48","48.2
2","29.4
54","72.3
183","70.9
108","56.0
55","49.2
92","33.5
211","32.0
82"
72,UCLA,B10,"120.5
43","101.0
52","54.0
72","48.8
80","14.0
22","18.9
74","31.2
170","31.7
227","36.2
165","36.1
209","76.8
37","75.8
336","52.3
154","52.2
208","38.3
18","29.8
24"
73,Marshall,SB,"109.8
151","109.7
195","54.0
73","47.8
48","17.7
228","16.8
196","33.6
89","32.4
258","29.2
322","40.7
298","73.3
147","71.3
129","53.0
125","47.8
52","36.8
38","32.0
79"
74,Charlotte,Amer,"114.4
86","113.2
265","53.9
74","51.1
172","18.1
254","14.9
306","36.1
41","32.0
241","40.9
60","40.4
293","71.4
210","71.5
141","52.9
135","50.9
150","36.8
39","34.2
190"
75,Robert Morris,Horz,"109.6
157","113.5
269","53.9
75","51.7
203","19.0
303","15.8
260","37.9
12","28.7
81","29.5
317","44.9
341","69.4
278","76.0
339","52.3
157","51.3
165","37.5
27","34.9
229"
76,Oklahoma,SEC,"118.8
52","107.4
140","53.9
76","50.7
149","14.5
34","15.5
277","34.1
75","30.8
173","34.0
217","32.6
104","73.6
139","73.9
272","55.4
66","50.9
148","34.7
137","33.7
166"
77,Kansas St.,B12,"113.2
103","105.5
105","53.9
77","51.5
191","16.9
177","17.0
175","31.6
151","32.7
268","26.4
356","35.1
172","71.7
200","72.8
218","52.8
137","52.7
226","36.9
35","33.0
130"
78,Mercer,SC,"114.2
88","112.1
249","53.9
78","52.6
242","15.6
92","17.3
152","34.0
78","33.8
305","36.6
154","28.3
39","74.7
96","72.7
207","54.9
73","50.6
134","35.0
113","36.9
326"
79,Michigan St.,B10,"119.0
51","91.6
2","53.8
79","46.1
16","18.1
248","16.4
218","39.4
6","22.0
1","37.2
130","29.4
55","74.5
100","74.3
291","54.5
83","46.5
28","35.0
116","30.4
41"
80,Lipscomb,ASun,"108.0
189","110.4
215","53.8
80","52.5
236","15.9
108","18.2
106","25.5
332","30.5
163","27.2
347","31.0
72","76.1
56","72.9
223","53.0
129","53.3
249","36.5
47","34.3
199"
81,Baylor,B12,"120.0
45","106.7
127","53.7
81","49.9
114","16.8
172","15.8
257","38.1
10","32.4
257","36.5
158","28.5
40","71.7
199","74.6
301","53.8
108","48.8
75","35.7
82","34.7
218"
82,Kentucky,SEC,"118.2
55","100.7
49","53.7
82","47.7
45","14.9
51","16.1
238","34.1
77","28.5
75","37.8
117","35.0
167","72.5
179","73.6
262","55.2
68","49.1
87","34.2
168","30.4
42"
83,Georgia,SEC,"120.6
41","102.4
65","53.7
83","47.7
46","14.4
33","19.5
52","36.1
39","35.4
335","39.4
79","29.1
46","75.6
68","68.8
29","58.4
21","47.6
47","31.7
283","31.9
77"
84,Colgate,Pat,"109.0
169","113.7
271","53.7
84","52.6
243","15.1
60","16.0
241","27.1
300","30.1
145","28.1
333","32.7
109","72.8
170","72.7
211","53.8
107","53.0
237","35.7
81","34.7
217"
85,Penn St.,B10,"115.6
74","111.9
246","53.6
85","57.9
360","14.2
27","18.3
101","28.0
272","30.8
176","32.6
255","26.3
16","75.0
92","76.3
342","55.8
60","58.9
356","33.5
209","37.8
344"
86,Oklahoma St.,B12,"116.9
67","105.5
106","53.6
86","51.7
204","16.7
160","17.2
164","31.4
161","29.1
105","38.3
106","32.1
96","75.2
85","70.3
77","54.1
93","52.0
198","35.1
108","34.2
191"
87,Clemson,ACC,"116.5
70","94.1
12","53.6
87","46.0
15","14.8
42","17.8
127","30.1
204","25.7
14","37.8
116","34.9
165","73.1
156","73.4
251","55.6
63","47.5
44","33.9
181","29.3
14"
88,New Mexico,MWC,"116.5
71","98.7
30","53.6
88","47.9
51","15.4
71","19.9
36","29.5
225","27.9
58","35.3
191","31.7
85","75.4
75","73.8
268","54.4
87","51.4
173","35.1
105","29.4
16"
89,Northeastern,CAA,"110.5
139","118.5
333","53.5
89","56.3
343","16.5
151","18.0
117","28.3
268","32.8
271","31.2
287","41.2
309","68.7
297","74.0
277","54.2
92","57.8
346","34.8
124","35.7
274"
90,Tennessee,SEC,"122.1
30","96.2
18","53.5
90","46.9
32","18.5
276","16.8
198","45.2
1","28.6
80","41.8
54","35.5
187","69.2
281","68.9
33","53.9
99","48.9
79","35.1
109","29.7
21"
91,Florida Atlantic,Amer,"112.5
114","105.6
109","53.4
91","50.2
124","18.3
263","17.0
176","32.9
109","29.0
99","33.8
222","37.6
242","71.3
213","73.4
252","54.5
85","48.8
74","34.4
148","35.1
245"
92,UT Rio Grande Valley,Slnd,"107.6
198","106.1
116","53.4
92","48.6
73","18.2
258","17.3
157","27.6
284","32.1
247","27.3
346","37.7
248","74.1
115","71.3
128","52.7
143","49.2
95","36.2
58","31.8
73"
93,UC Davis,BW,"109.8
150","110.3
212","53.3
93","52.7
248","18.2
257","18.7
85","26.5
310","30.7
171","41.9
52","40.1
289","74.5
103","72.2
173","53.0
132","52.7
225","35.7
76","35.2
248"
94,Davidson,A10,"112.2
119","104.6
84","53.3
94","51.8
208","16.4
143","17.8
129","29.8
213","31.3
200","31.7
271","35.2
177","65.9
351","67.2
11","51.8
170","53.6
260","36.8
37","32.6
103"
95,Pacific,WCC,"112.4
117","106.3
120","53.3
95","49.5
95","20.5
346","15.8
262","36.1
40","24.7
8","33.1
239","38.2
254","76.8
36","72.3
178","53.2
119","48.1
60","35.6
86","34.3
201"
96,San Diego St.,MWC,"112.5
115","95.0
14","53.3
96","48.0
55","18.1
251","21.2
16","29.6
219","31.0
186","36.4
162","36.3
211","75.3
77","74.0
274","52.2
159","47.2
37","37.0
34","32.6
102"
97,Idaho St.,BSky,"111.4
129","116.8
316","53.3
97","52.9
254","17.9
239","15.5
279","33.4
96","31.2
195","39.4
82","36.4
213","74.4
106","77.2
356","53.6
112","54.9
288","35.2
102","33.0
133"
98,Utah,B12,"117.9
59","110.4
214","53.3
98","53.6
270","15.5
82","14.5
324","29.1
240","32.9
278","33.8
226","30.3
59","73.3
153","70.5
84","52.4
151","53.9
268","36.6
46","35.3
252"
99,UMBC,AE,"104.4
252","112.6
259","53.2
99","51.4
188","15.5
77","15.0
298","22.9
351","27.7
56","33.7
229","24.8
10","73.6
140","66.8
7","53.8
106","51.2
159","34.9
123","34.4
206"
100,Illinois St.,MVC,"109.5
160","99.6
35","53.2
100","48.0
56","16.4
141","17.2
163","29.5
228","24.3
5","33.3
236","36.0
204","70.0
257","68.3
24","54.5
84","48.5
69","34.3
157","31.3
58"
,,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Rk,Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
101,Richmond,A10,"110.5
140","110.5
220","53.1
101","51.5
192","15.1
62","17.4
149","27.5
288","30.7
169","37.8
118","31.0
71","75.1
88","69.5
48","50.4
220","53.5
255","38.0
20","32.8
119"
102,UC San Diego,BW,"108.5
181","105.1
93","53.1
102","48.4
65","15.8
100","16.5
212","27.4
290","29.1
107","30.9
289","31.5
83","68.3
309","69.6
54","54.8
75","47.5
45","33.9
182","33.1
138"
103,Vermont,AE,"107.6
197","113.9
274","53.1
103","51.1
173","14.2
25","13.8
342","26.2
318","23.3
3","30.7
298","37.0
225","73.9
126","73.8
270","55.2
70","50.2
122","33.6
205","34.9
235"
104,Syracuse,ACC,"115.2
77","102.6
67","53.1
104","48.0
57","16.2
130","18.9
77","30.1
203","32.5
264","38.1
112","34.7
160","63.3
363","72.5
196","54.6
81","47.9
54","33.7
194","32.1
84"
105,Youngstown St.,Horz,"107.0
210","109.3
183","53.1
105","51.6
198","19.5
324","18.4
98","33.0
106","32.2
249","32.5
256","41.7
314","72.8
168","75.6
333","55.9
57","50.9
147","33.7
195","35.4
259"
106,Hawaii,BW,"107.2
206","98.7
29","53.0
106","44.2
4","19.4
317","17.3
159","32.1
137","27.0
39","42.2
48","35.6
193","73.5
142","67.0
8","54.7
77","45.4
12","33.6
201","27.6
3"
107,Sam Houston St.,CUSA,"113.9
91","106.9
133","53.0
107","50.9
165","17.0
184","17.6
142","35.7
47","31.4
206","32.6
250","39.0
276","71.2
219","68.8
32","51.8
171","52.0
200","36.7
42","32.9
126"
108,Minnesota,B10,"113.0
104","100.5
45","53.0
108","50.0
115","16.7
161","17.3
155","29.5
224","29.1
106","40.2
69","30.4
61","69.4
276","72.7
212","56.2
53","49.1
86","32.7
240","34.2
195"
109,Auburn,SEC,"125.1
11","103.5
73","53.0
109","51.9
213","14.8
48","17.4
148","37.8
14","32.0
240","47.5
3","34.3
145","73.9
128","75.2
319","55.5
65","51.7
183","32.8
234","34.9
236"
110,Dartmouth,Ivy,"107.0
209","111.1
235","53.0
110","50.5
141","18.1
252","13.7
347","26.0
323","31.3
203","36.9
141","29.2
50","71.3
214","72.9
226","49.4
259","52.3
211","37.8
23","31.8
71"
111,Massachusetts,MAC,"109.5
159","109.3
181","53.0
111","52.5
237","18.1
249","18.2
110","33.0
107","26.3
23","39.2
87","46.0
348","68.2
312","71.7
152","52.7
142","56.3
321","35.7
77","31.5
63"
112,Denver,Sum,"114.1
89","122.8
361","52.9
112","57.0
351","14.8
49","13.2
351","29.6
218","35.3
334","33.7
230","35.3
182","76.7
41","69.0
35","51.4
193","57.1
332","36.8
40","37.9
345"
113,Bowling Green,MAC,"108.7
176","104.7
87","52.9
113","50.9
166","17.0
181","19.9
38","30.3
196","27.2
42","36.5
159","37.5
237","73.1
158","73.1
238","53.0
126","52.6
223","35.1
106","32.3
89"
114,Central Arkansas,ASun,"108.5
182","108.6
159","52.9
114","54.5
299","15.9
106","18.3
103","27.7
281","27.4
46","30.9
292","30.3
60","67.9
322","73.5
259","54.9
72","57.9
347","33.9
179","34.4
207"
115,California,ACC,"113.8
93","101.0
51","52.9
115","47.5
39","14.6
38","16.2
227","26.0
325","31.3
204","38.2
108","35.6
194","78.0
15","67.1
9","50.8
207","50.1
118","37.2
32","29.1
11"
116,North Dakota St.,Sum,"112.9
106","107.9
147","52.9
116","52.2
226","16.1
118","19.8
42","35.0
58","28.8
86","30.4
306","29.1
47","71.4
211","75.6
334","53.0
131","52.0
199","35.1
107","34.9
231"
117,Indiana St.,MVC,"107.7
196","109.5
188","52.8
117","49.7
107","18.7
288","14.7
313","25.4
333","31.4
210","28.9
326","28.6
42","68.7
294","70.1
71","58.2
25","51.1
155","31.0
313","31.4
61"
118,Charleston Southern,BSth,"103.6
262","110.5
217","52.7
118","46.7
24","17.5
210","12.9
358","29.3
234","29.0
102","31.6
273","45.2
345","64.0
362","70.3
79","53.7
109","45.8
18","34.5
147","32.4
95"
119,James Madison,SB,"109.5
162","115.0
287","52.7
119","49.8
112","17.5
212","12.9
359","30.3
199","31.2
197","35.8
177","43.9
331","70.0
258","72.2
175","51.4
188","49.2
96","36.2
63","33.8
169"
120,Florida Gulf Coast,ASun,"108.7
175","114.0
275","52.7
120","53.2
261","16.9
175","16.5
213","31.6
153","30.4
154","30.8
295","40.9
305","73.7
134","75.1
317","51.6
179","52.9
233","36.3
55","35.7
272"
121,South Dakota St.,Sum,"109.4
163","111.2
241","52.7
121","50.8
159","16.7
158","15.7
264","30.5
191","27.6
51","32.1
262","35.2
176","69.5
273","74.3
293","53.8
104","52.4
216","34.0
176","32.6
107"
122,Wake Forest,ACC,"114.8
80","103.8
77","52.6
122","51.9
214","16.1
123","20.1
29","30.3
197","33.8
308","33.0
241","37.6
243","76.7
40","74.1
280","54.0
95","55.5
304","33.8
186","32.0
81"
123,Toledo,MAC,"112.8
109","111.9
245","52.6
123","55.1
317","15.8
105","18.9
76","30.9
179","35.9
338","33.5
232","27.1
25","77.7
20","69.6
50","52.2
161","56.4
322","35.7
75","35.5
264"
124,LIU,NEC,"106.2
223","109.4
185","52.6
124","51.0
170","19.6
327","18.7
88","36.0
44","33.4
292","33.8
225","35.1
171","65.1
358","68.0
22","51.5
182","51.9
194","36.8
36","32.8
120"
