,,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Rk,Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
1,Belmont,MVC,"120.6
42","108.3
153","61.1
1","48.5
68","18.4
271","18.1
116","29.5
223","30.3
152","33.9
221","29.2
51","67.0
336","74.5
300","60.8
5","46.3
26","41.1
4","33.8
168"
2,Saint Louis,A10,"124.7
16","99.6
36","61.0
2","43.0
1","16.8
165","15.9
251","33.3
99","26.0
18","35.2
193","37.4
235","73.6
136","73.1
237","60.2
8","43.7
3","41.3
2","28.0
4"
3,Liberty,CUSA,"118.5
54","108.6
161","60.3
3","50.7
147","13.3
10","18.3
100","19.4
365","33.2
290","29.5
315","25.9
14","69.8
267","71.1
118","60.3
7","48.7
72","40.2
6","36.0
282"
4,Miami OH,MAC,"117.7
63","107.8
145","59.9
4","50.8
155","15.0
53","18.7
83","25.4
334","27.6
53","39.1
89","32.8
111","77.3
27","75.6
332","63.1
2","51.8
187","37.4
28","32.7
114"
5,Iowa St.,B12,"126.6
7","94.2
13","59.0
5","48.3
63","15.3
68","22.8
5","37.8
13","28.3
72","36.3
163","26.5
19","68.6
300","70.7
99","57.3
35","49.0
80","41.2
3","31.6
66"
6,Akron,MAC,"119.6
47","105.8
112","58.8
6","50.2
122","15.6
90","18.9
75","34.4
71","32.5
263","27.7
339","32.1
98","76.3
48","73.0
229","59.5
14","50.2
120","38.6
15","33.5
152"
7,Purdue,B10,"130.3
2","98.5
26","58.8
7","50.3
129","13.8
17","16.3
223","36.0
42","26.8
36","27.6
343","23.9
7","74.5
101","70.6
90","59.1
19","51.4
171","38.8
13","32.7
112"
8,St. Thomas,Sum,"112.7
111","108.3
152","58.7
8","52.0
219","14.7
41","18.4
96","22.1
358","28.2
71","35.8
178","31.2
75","71.5
207","75.0
314","62.8
4","52.6
221","35.9
66","34.1
183"
9,Cornell,Ivy,"120.8
40","122.2
358","58.6
9","57.6
356","16.3
137","15.3
285","29.0
243","30.2
148","31.5
279","37.5
240","74.0
122","71.4
133","58.2
26","56.9
330","39.3
11","39.2
359"
10,Michigan,B10,"127.5
5","90.3
1","58.6
10","43.3
2","17.0
182","17.2
165","35.5
51","28.2
64","41.8
53","26.9
22","73.0
160","72.7
210","63.6
1","42.2
2","34.6
140","29.9
25"
11,Iowa,B10,"121.9
34","96.6
19","58.5
11","49.4
92","16.1
119","22.1
7","31.6
152","29.6
124","36.1
168","37.5
238","77.5
23","71.4
132","59.9
11","51.9
192","37.7
24","30.1
32"
12,Tulsa,Amer,"124.3
18","109.8
199","58.2
12","50.5
140","15.6
85","16.0
242","33.2
103","28.5
76","44.9
12","32.7
105","79.7
5","72.4
183","55.9
56","49.2
93","40.8
5","35.0
239"
13,Colorado St.,MWC,"117.6
65","110.5
219","58.0
13","53.8
275","19.2
312","15.4
283","32.0
142","29.2
109","36.3
164","33.4
124","76.4
46","69.8
58","56.6
47","55.2
299","39.6
8","34.8
224"
14,Bellarmine,ASun,"111.1
132","126.3
363","57.6
14","59.5
365","16.1
124","15.1
291","21.7
361","35.0
328","37.4
128","33.1
120","77.4
26","72.3
176","60.6
6","59.7
361","35.5
93","39.5
362"
15,Duke,ACC,"125.3
10","93.2
5","57.4
15","45.9
14","16.2
126","19.6
51","37.4
18","25.9
16","40.9
59","23.1
4","71.6
202","72.1
168","62.8
3","45.6
15","33.8
188","30.8
49"
16,Utah St.,MWC,"122.3
27","101.1
54","57.0
16","48.5
69","16.2
129","21.9
10","36.4
34","31.6
216","37.0
136","38.8
269","70.3
250","72.9
227","60.1
9","47.5
43","34.7
132","33.2
141"
17,N.C. State,ACC,"123.3
23","99.8
38","57.0
17","50.8
156","13.5
11","19.4
55","28.6
259","28.0
62","35.1
195","37.8
249","75.9
60","67.7
16","54.4
90","50.4
128","40.1
7","34.2
189"
18,Gonzaga,WCC,"121.6
36","94.1
11","56.8
18","45.4
12","14.2
26","20.4
21","36.2
38","24.5
7","31.3
283","31.9
91","68.7
291","69.6
53","58.3
23","45.9
20","35.4
94","30.0
28"
19,Vanderbilt,SEC,"125.1
12","95.4
15","56.7
19","46.8
26","13.3
9","18.6
90","30.3
198","28.0
60","37.0
134","40.9
304","77.0
31","76.4
343","59.2
17","49.4
99","35.8
73","28.6
8"
20,Miami FL,ACC,"119.2
49","102.3
64","56.7
20","50.1
119","16.3
132","19.2
64","37.3
20","26.1
19","39.2
85","32.0
94","68.8
287","66.7
6","59.3
16","48.1
58","34.3
156","35.4
258"
21,Arizona,B12,"126.2
8","91.8
4","56.5
21","45.3
10","15.7
93","18.1
111","39.6
5","25.4
12","43.6
26","27.8
32","73.8
130","69.4
45","57.2
38","43.7
4","36.3
53","31.9
75"
22,Nebraska,B10,"122.1
29","94.0
10","56.5
22","47.2
35","13.2
7","19.0
70","26.0
321","27.2
43","26.4
355","24.7
9","76.2
53","72.2
172","59.4
15","49.1
85","35.8
72","30.2
33"
23,Yale,Ivy,"120.8
39","110.4
213","56.5
23","51.9
211","13.8
18","16.1
236","34.5
69","29.9
138","35.0
198","31.2
76","78.8
11","71.8
153","53.2
118","52.5
218","41.8
1","34.1
182"
24,Arkansas,SEC,"126.7
6","103.7
76","56.5
24","50.8
157","13.0
6","16.4
216","32.8
111","31.2
196","37.7
121","29.2
49","74.1
119","70.8
103","56.8
43","53.1
241","37.4
29","31.8
72"
25,Texas A&M,SEC,"122.1
32","99.0
31","56.4
25","49.8
111","15.4
72","20.2
27","33.9
83","30.8
174","39.0
93","34.6
157","75.6
69","74.3
289","56.7
45","50.8
144","37.3
30","32.3
88"
26,Montana,BSky,"108.4
184","105.9
114","56.4
26","50.6
145","20.0
337","15.1
295","22.7
353","30.6
166","36.7
148","33.1
121","78.9
9","71.2
121","57.0
41","51.6
181","37.1
33","32.5
97"
27,UC Santa Barbara,BW,"115.5
75","110.0
203","56.2
27","53.7
273","18.4
269","18.3
104","31.8
147","26.2
21","36.6
155","43.5
326","77.8
18","72.1
166","54.5
86","53.5
253","39.0
12","35.9
278"
28,Buffalo,MAC,"113.8
95","115.7
303","56.1
28","54.2
293","16.0
115","17.6
140","28.0
273","31.6
222","42.9
38","30.9
68","73.9
129","74.9
310","54.8
76","57.4
340","38.5
17","33.3
145"
29,Boston University,Pat,"109.7
153","121.6
354","56.0
29","55.5
330","17.5
208","13.5
349","27.3
293","27.7
55","32.6
254","32.8
113","71.1
224","72.5
194","55.6
64","53.7
262","37.7
25","38.7
355"
30,Indiana,B10,"124.1
21","100.6
47","55.9
30","46.9
31","15.0
55","16.2
229","28.5
261","28.8
91","36.6
151","38.7
264","78.6
12","75.5
330","59.1
18","47.1
35","35.3
98","31.0
51"
31,Ohio St.,B10,"123.0
24","104.2
81","55.9
31","49.2
89","15.5
79","15.8
256","33.4
95","30.0
143","37.0
137","33.8
135","78.8
10","74.9
309","59.5
12","51.9
193","33.8
192","30.3
38"
32,Louisville,ACC,"124.9
15","98.5
25","55.8
32","47.2
36","16.1
116","17.8
128","34.1
76","27.1
41","34.5
202","33.4
126","76.5
43","70.6
88","60.0
10","45.1
9","34.8
125","33.5
153"
33,Illinois,B10,"131.7
1","99.0
32","55.8
33","47.3
37","14.1
24","12.0
365","39.6
4","26.7
32","34.7
200","18.7
1","78.9
8","70.8
101","58.3
24","46.7
31","35.6
88","32.1
83"
34,Connecticut,BE,"122.7
26","91.6
3","55.8
34","44.0
3","16.3
134","19.1
68","35.6
49","28.9
93","31.6
272","40.8
303","70.6
237","72.0
163","56.5
48","44.6
6","36.4
51","28.5
6"
35,Missouri,SEC,"116.9
68","104.1
80","55.8
35","50.2
123","18.1
250","16.8
197","35.7
46","30.3
151","41.6
55","35.4
184","67.4
332","74.5
299","57.9
30","46.5
27","34.7
135","36.4
307"
36,Texas Tech,B12,"124.9
14","98.7
28","55.8
36","50.3
130","15.0
56","15.6
269","34.0
79","29.0
98","28.1
332","31.9
93","70.5
243","70.1
70","53.9
100","51.0
151","38.6
16","32.7
113"
37,BYU,B12,"124.2
19","101.0
53","55.7
37","48.6
72","15.0
54","17.1
169","35.6
48","28.0
59","35.4
189","27.4
28","74.7
95","70.6
89","57.4
34","48.5
68","35.5
92","32.6
104"
38,SMU,ACC,"124.5
17","104.1
79","55.7
38","50.7
148","16.1
122","17.6
141","35.0
60","31.4
207","33.2
237","32.8
112","76.2
54","71.1
115","55.7
61","52.2
207","37.2
31","32.6
101"
39,Queens,ASun,"113.6
99","118.1
328","55.7
39","55.0
310","15.4
74","14.5
323","32.4
125","33.4
294","32.8
247","39.3
278","74.9
94","73.0
231","58.5
20","54.6
281","35.1
110","37.1
331"
40,High Point,BSth,"117.9
58","110.7
225","55.6
40","51.3
183","12.4
1","21.9
9","31.4
162","31.6
219","43.6
28","34.8
162","72.9
165","70.7
97","57.9
29","52.2
205","34.9
119","33.3
146"
41,Washington St.,WCC,"115.4
76","110.2
210","55.6
41","53.0
255","18.7
287","14.8
308","30.5
190","26.5
26","32.6
251","34.8
163","73.3
151","73.6
261","56.3
52","52.2
206","36.5
50","36.1
290"
42,Utah Valley,WAC,"112.1
121","102.9
69","55.5
42","48.8
79","20.9
350","20.9
18","34.5
70","31.0
182","36.0
171","38.4
256","69.7
270","75.4
328","57.8
31","48.3
64","33.8
185","33.1
139"
43,East Tennessee St.,SC,"110.2
145","109.1
178","55.4
43","50.4
134","14.9
50","19.4
56","29.3
231","28.0
61","34.4
204","35.2
175","77.2
29","72.4
184","57.8
32","50.5
132","34.3
155","33.5
154"
44,George Washington,A10,"117.9
60","107.3
138","55.4
44","51.7
201","17.3
200","18.0
118","34.9
62","28.8
87","36.9
142","33.7
132","72.9
166","70.9
107","56.7
46","53.6
258","35.9
67","32.8
121"
45,North Carolina,ACC,"124.0
22","101.5
58","55.3
45","46.7
23","13.7
15","13.9
339","33.9
82","27.9
57","40.4
64","24.6
8","68.4
307","69.9
63","58.0
27","44.0
5","34.4
152","34.1
185"
46,Virginia,ACC,"124.2
20","97.5
22","55.2
46","45.0
8","15.6
87","16.2
230","40.0
3","29.4
117","35.7
180","36.5
215","70.3
249","72.4
190","56.4
50","44.8
8","35.9
70","30.3
37"
47,Northern Colorado,BSky,"112.1
120","112.7
261","55.1
47","51.7
202","16.3
131","12.8
360","29.0
245","24.7
9","27.7
341","38.9
273","75.1
87","76.8
350","56.9
42","53.5
252","35.0
118","32.2
86"
48,Furman,SC,"107.1
207","108.6
157","55.0
48","49.7
105","18.3
264","14.1
335","31.6
150","29.0
101","31.5
276","26.5
20","67.8
326","71.5
143","59.5
13","51.4
170","33.3
218","31.5
64"
49,UCF,B12,"121.5
37","105.0
91","55.0
49","52.2
224","16.2
127","16.6
207","37.1
21","26.6
27","30.6
299","35.3
183","73.5
144","73.3
246","53.8
105","53.1
242","38.2
19","34.0
178"
50,Santa Clara,WCC,"122.1
33","101.7
59","55.0
50","50.4
135","17.0
183","21.1
17","38.4
9","31.2
192","26.5
354","40.0
287","73.4
145","73.3
247","57.9
28","52.3
210","34.2
162","31.6
67"
,,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Rk,Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
51,Providence,BE,"122.7
25","111.1
231","54.9
51","52.2
225","15.7
98","13.7
344","31.7
148","31.6
218","36.7
150","33.0
117","77.6
21","72.1
167","56.4
51","48.9
78","35.2
104","38.0
349"
52,Texas,SEC,"125.5
9","106.4
122","54.9
52","49.7
106","15.5
76","14.6
316","37.6
16","27.5
47","47.4
4","40.8
299","74.3
109","72.4
188","57.2
39","48.2
63","34.1
174","35.0
242"
53,Murray St.,MVC,"117.6
64","110.7
224","54.8
53","50.4
136","16.4
144","16.0
244","34.3
72","31.6
217","39.1
88","32.9
115","76.6
42","71.9
157","56.8
44","49.4
100","34.9
122","35.6
268"
54,Elon,CAA,"113.7
97","115.8
305","54.8
54","54.0
286","15.9
112","16.6
206","34.0
80","34.2
318","33.0
242","33.9
139","70.2
252","71.3
130","55.7
62","53.2
244","35.7
80","36.7
318"
55,VCU,A10,"119.4
48","107.0
135","54.8
55","49.5
94","15.7
97","17.7
133","33.8
85","30.6
164","45.0
10","34.4
150","74.0
120","72.7
208","54.7
78","48.6
71","36.6
44","34.3
198"
56,LSU,SEC,"120.0
44","106.4
121","54.7
56","49.3
91","15.5
80","15.0
299","33.1
104","30.6
165","42.4
46","35.6
192","76.8
34","67.8
18","57.2
40","46.8
32","33.3
217","35.4
261"
57,Alabama,SEC,"129.3
3","102.2
62","54.7
57","47.7
44","13.2
8","13.0
356","32.0
145","33.8
306","35.9
174","36.6
219","75.4
74","67.7
17","57.2
37","48.2
62","35.1
111","31.1
53"
58,Green Bay,Horz,"112.9
108","116.7
315","54.7
58","55.8
335","16.3
136","13.1
354","24.8
343","29.4
120","43.3
33","38.6
259","75.4
76","72.4
187","54.9
74","55.9
312","36.2
62","37.1
330"
59,Wright St.,Horz,"114.7
81","107.8
146","54.6
59","51.9
212","16.3
138","17.2
162","32.1
138","30.9
178","37.1
132","35.7
198","74.5
104","72.0
161","55.2
69","53.2
245","35.7
78","33.0
132"
60,Villanova,BE,"121.1
38","100.2
42","54.5
60","50.9
164","15.3
69","18.7
84","34.7
66","32.6
265","30.9
290","28.6
41","70.7
233","67.6
15","54.0
96","50.1
116","36.7
41","34.8
225"
61,Creighton,BE,"117.9
57","106.7
128","54.5
61","51.3
184","15.9
109","13.7
345","29.1
239","31.1
190","27.7
340","22.8
3","75.2
82","68.4
25","57.3
36","50.2
121","34.3
161","35.7
275"
62,Kansas,B12,"122.1
31","93.9
9","54.5
62","44.5
6","15.1
59","13.5
348","28.3
265","29.4
119","33.9
220","25.9
13","75.8
61","65.7
1","54.5
82","44.7
7","36.2
61","29.4
15"
63,Duquesne,A10,"111.5
127","106.6
125","54.5
63","51.2
176","18.6
282","17.2
167","29.8
215","28.2
69","39.2
86","41.7
313","71.2
218","73.6
263","56.1
54","51.4
172","35.0
115","34.0
179"
64,William & Mary,CAA,"110.0
147","107.5
141","54.4
64","50.8
158","17.6
220","19.7
48","26.4
313","32.6
266","39.1
90","35.3
181","75.5
73","70.5
83","57.6
33","54.4
278","33.6
198","31.0
52"
65,North Florida,ASun,"111.3
130","128.4
365","54.2
65","58.4
362","18.3
268","12.7
361","24.7
344","38.7
361","25.4
361","32.2
100","80.1
3","69.9
60","54.1
94","61.2
364","36.2
64","36.0
283"
