id,date,start_time,away_team,home_team,v1_away,v1_home,v2_away,v2_home,v5_away,v5_home,v6_away,v6_home,v6_pre_away,v6_pre_home,v8_winner,v8_confidence,v8_pre_away,,sl_away_pred,sl_home_pred,away_result,home_result,moneyline_favorite_team,total_line,runline_favorite_team,runline_value,v1_success,v1_runline_success,v1_over_under_success,v1_away_diff,v1_home_diff,v2_success,v2_runline_success,v2_over_under_success,v2_away_diff,v2_home_diff,v5_home_success,v5_runline_success,v5_over_under_success,v5_away_diff,v5_home_diff,v6_home_success,v6_runline_success,v6_over_under_success,v6_away_diff,v6_home_diff,v6_pre_home_success,v6_pre_runline_success,v6_pre_over_under_success,v6_pre_away_diff,v6_pre_home_diff,sl_success,sl_runline_success,sl_over_under_success,sl_away_diff,sl_home_diff,v1_sl_same,v1_sl_success,v5_sl_same,v5_sl_success,v6_sl_same,v6_sl_success,v8_success,v8_pre_success
1,20250621,2025-06-21T16:10:00Z,DET,TBR,3.85,3.75,3.01,3.4,5.19,6.18,3.95,4.55,,,TBR,87.20,,,4.2,4.5,3,8,TBR,8.5,TBR,-1.5,FALSE,FALSE,FALSE,-0.85,4.25,TRUE,FALSE,FALSE,-0.01,4.6,TRUE,FALSE,TRUE,-2.19,1.82,TRUE,FALSE,FALSE,-0.95,3.45,,,,,,TRUE,FALSE,TRUE,-1.2,3.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
2,20250621,2025-06-21T17:05:00Z,BAL,NYY,3.74,3.78,2.36,4.62,4.18,6.02,7.45,5.03,,,NYY,96.50,,,4.4,4.9,0,9,NYY,9.5,NYY,-1.5,TRUE,FALSE,TRUE,-3.74,5.22,TRUE,TRUE,TRUE,-2.36,4.38,TRUE,TRUE,FALSE,-4.18,2.98,FALSE,FALSE,FALSE,-7.45,3.97,,,,,,TRUE,FALSE,TRUE,-4.4,4.1,,,TRUE,TRUE,,,TRUE,
3,20250621,2025-06-21T18:10:00Z,MIL,MIN,4.09,3.93,4.17,3.09,4.45,5.21,3.05,2.84,,,MIN,96.00,,,4.8,4.4,9,0,MIN,10.5,MIN,-1.5,TRUE,TRUE,TRUE,4.91,-3.93,TRUE,TRUE,TRUE,4.83,-3.09,FALSE,TRUE,TRUE,4.55,-5.21,TRUE,TRUE,TRUE,5.95,-2.84,,,,,,TRUE,TRUE,TRUE,4.2,-4.4,TRUE,TRUE,,,TRUE,TRUE,FALSE,
4,20250621,2025-06-21T18:15:00Z,CIN,STL,3.75,3.9,3.94,5.03,4.61,5.84,4.09,6.56,,,STL,99.40,,,5,5.4,5,6,STL,8.5,STL,-1.5,TRUE,TRUE,FALSE,1.25,2.1,TRUE,TRUE,TRUE,1.06,0.97,TRUE,TRUE,TRUE,0.39,0.16,TRUE,FALSE,TRUE,0.91,-0.56,,,,,,TRUE,TRUE,TRUE,0,0.6,,,TRUE,TRUE,TRUE,TRUE,TRUE,
5,20250621,2025-06-21T18:20:00Z,SEA,CHC,3.82,3.95,3.79,5.45,4.91,5.3,4.07,7.5,,,CHC,99.10,,,4.1,4.7,7,10,CHC,12.5,CHC,-1.5,TRUE,FALSE,FALSE,3.18,6.05,TRUE,TRUE,FALSE,3.21,4.55,TRUE,FALSE,FALSE,2.09,4.7,TRUE,TRUE,FALSE,2.93,2.5,,,,,,TRUE,FALSE,FALSE,2.9,5.3,,,TRUE,TRUE,TRUE,TRUE,TRUE,
6,20250621,2025-06-21T19:07:00Z,CHW,TOR,3.78,3.89,4.29,6.33,3.81,3.56,2.79,6.82,,,TOR,98.20,,,3.9,4.9,1,7,TOR,8.5,TOR,-1.5,TRUE,FALSE,TRUE,-2.78,3.11,TRUE,TRUE,FALSE,-3.29,0.67,FALSE,FALSE,TRUE,-2.81,3.44,TRUE,TRUE,FALSE,-1.79,0.18,,,,,,TRUE,FALSE,FALSE,-2.9,2.1,,,,,TRUE,TRUE,TRUE,
7,20250621,2025-06-21T20:05:00Z,TEX,PIT,3.79,3.93,4.47,5.18,3.82,3.78,2.32,4.37,,,PIT,78.60,,,4.5,4.1,3,2,TEX,8.5,TEX,-1.5,FALSE,TRUE,TRUE,-0.79,-1.93,FALSE,TRUE,FALSE,-1.47,-3.18,TRUE,TRUE,TRUE,-0.82,-1.78,FALSE,TRUE,TRUE,0.68,-2.37,,,,,,TRUE,TRUE,FALSE,-1.5,-2.1,,,TRUE,TRUE,,,FALSE,
8,20250621,2025-06-21T20:05:00Z,BOS,SFG,3.8,3.93,3.49,5.14,3.67,4.77,2.25,5.76,,,SFG,99.70,,,4.1,4.5,2,3,SFG,7.5,SFG,-1.5,TRUE,TRUE,FALSE,-1.8,-0.93,TRUE,FALSE,FALSE,-1.49,-2.14,TRUE,TRUE,FALSE,-1.67,-1.77,TRUE,FALSE,FALSE,-0.25,-2.76,,,,,,TRUE,TRUE,FALSE,-2.1,-1.5,,,TRUE,TRUE,TRUE,TRUE,TRUE,
9,20250621,2025-06-21T20:10:00Z,ATL,MIA,4.2,3.71,7.43,4.18,7.23,5.05,4.86,1.65,,,MIA,74.90,,,5.1,4,7,0,ATL,8.5,ATL,-1.5,TRUE,FALSE,TRUE,2.8,-3.71,TRUE,TRUE,FALSE,-0.43,-4.18,TRUE,TRUE,FALSE,-0.23,-5.05,TRUE,TRUE,TRUE,2.14,-1.65,,,,,,TRUE,FALSE,FALSE,1.9,-4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
10,20250621,2025-06-21T23:15:00Z,NYM,PHI,3.97,3.85,5.73,4.98,5.11,4.86,4.85,4.86,,,NYM,93.80,,,4.9,5,11,4,NYM,10.5,NYM,-1.5,TRUE,FALSE,FALSE,7.03,0.15,TRUE,FALSE,TRUE,5.27,-0.98,TRUE,FALSE,FALSE,5.89,-0.86,FALSE,FALSE,FALSE,6.15,-0.86,,,,,,FALSE,FALSE,FALSE,6.1,-1,TRUE,FALSE,,,TRUE,FALSE,TRUE,
11,20250621,2025-06-21T23:15:00Z,KCR,SDP,3.78,3.71,4.45,4.01,3.65,7.01,3.42,2.82,,,SDP,99.30,,,3.7,3.8,1,5,SDP,7.5,SDP,-1.5,FALSE,FALSE,TRUE,-2.78,1.29,FALSE,FALSE,FALSE,-3.45,0.99,TRUE,TRUE,FALSE,-2.65,-2.01,FALSE,FALSE,TRUE,-2.42,2.18,,,,,,TRUE,FALSE,FALSE,-2.7,1.2,TRUE,TRUE,TRUE,TRUE,,,TRUE,
12,20250621,2025-06-22T01:10:00Z,ARI,COL,4.21,3.67,5.89,3.93,4.6,4.15,4.86,2.67,,,ARI,80.20,,,6.2,4.8,5,3,ARI,12.5,ARI,-2.5,TRUE,TRUE,TRUE,0.79,-0.67,TRUE,TRUE,TRUE,-0.89,-0.93,TRUE,TRUE,TRUE,0.4,-1.15,TRUE,TRUE,TRUE,0.14,0.33,,,,,,TRUE,TRUE,TRUE,-1.2,-1.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
