id,date,start_time,away_team,home_team,sl_away_pred,sl_home_pred,gdo_away_pred,gdo_home_pred,gdo_v4_favorite,gdo_v4_confidence,away_result,home_result,moneyline_favorite_team,total_line,runline_favorite_team,runline_value,underdog_runline_odds,favorite_runline_odds,over_total_line_odds,under_total_line_odds,underdog_moneyline_odds,favorite_moneyline_odds
30014,20260102,17:00,SIEN,IONA,68,76,69,70,IONA,55.6,72,75,IONA,146.5,IONA,-1.5,-105,-115,-110,-110,100,-120
30015,20260102,17:00,MRST,STPE,69,64,67,63,MRST,50.4,59,69,MRST,129.5,MRST,-3.5,-109,-111,-112,-108,140,-170
30016,20260102,17:00,QPAC,MANH,79,73,77,70,QPAC,58.6,79,80,QPAC,157.5,QPAC,-6.5,-105,-115,-112,-108,225,-275
30017,20260102,17:00,WAG,CHSU,73,65,70,66,WAG,71.2,79,72,CHSU,145.5,CHSU,-1.5,-120,100,-108,-112,-110,-110
30018,20260102,17:30,LT,MTSU,67,70,64,68,MTSU,82.2,51,88,MTSU,132.5,MTSU,-6.5,-105,-115,-108,-112,220,-275
30019,20260102,17:30,FDU,MHRT,63,75,63,69,MHRT,62.8,74,67,MHRT,134.5,MHRT,-6.5,-110,-110,-110,-110,235,-275
30020,20260102,17:30,ORE,UMD,72,77,69,71,UMD,61.2,64,54,ORE,151.5,ORE,-2.5,-102,-118,-110,-110,118,-145
30021,20260102,18:00,LOU,STAN,82,72,78,67,LOU,64.4,76,80,LOU,157.5,LOU,-8.5,-108,-112,-112,-108,290,-375
30022,20260102,18:00,OSU,RUTG,81,70,75,69,OSU,57.5,80,73,OSU,148.5,OSU,-9.5,-112,-108,-108,-112,360,-475
30023,20260102,18:00,UTEP,MOST,64,72,63,71,MOST,77.2,55,79,MOST,131.5,MOST,-2.5,-118,-102,-115,-105,125,-150
30024,20260102,19:00,WVU,ISU,68,80,61,75,ISU,93.7,59,80,ISU,140.5,ISU,-16.5,-108,-112,-112,-108,1000,-2000
30025,20260102,19:00,MSU,NEB,70,78,67,71,MSU,54.1,56,58,NEB,144.5,NEB,-2.5,-120,100,-110,-110,115,-140
30026,20260102,19:00,STTL,GONZ,63,80,62,83,GONZ,96.8,72,80,GONZ,152.5,GONZ,-22.5,-108,-112,-110,-110,2000,-10000
30027,20260102,19:30,LOYMR,WSU,75,74,73,81,WSU,68.7,76,78,WSU,141.5,WSU,-1.5,-108,-112,-110,-110,105,-125
30028,20260102,20:00,PEPP,SC,66,85,62,89,SC,95.1,63,82,SC,150.5,SC,-20.5,-110,-110,-108,-112,1350,-5000
30029,20260102,20:00,ORST,PAC,74,73,69,72,PAC,70.8,53,84,PAC,142.5,PAC,-4.5,-118,-102,-105,-115,150,-185
